epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.825,1.39718,1.43225,1.09576,0.66636,0.44412,0.49035,0.21014,1.85637,1.55624,1.35076,0.000475316,0.000475316,0.000475316
2,314.37,1.28965,0.98976,1.07733,0.48324,0.49034,0.45172,0.20836,1.81749,1.74513,1.32125,0.000904542,0.000904542,0.000904542
3,439.756,1.26754,0.89648,1.07067,0.45969,0.46563,0.42464,0.18694,1.87239,1.68253,1.34204,0.00128661,0.00128661,0.00128661
4,564.522,1.22798,0.84376,1.05714,0.57853,0.45584,0.5077,0.2413,1.85433,1.41984,1.37908,0.00121679,0.00121679,0.00121679
5,689.139,1.19219,0.80926,1.04523,0.54836,0.50668,0.51042,0.20419,1.88371,1.40844,1.35075,0.00114606,0.00114606,0.00114606
6,811.849,1.16052,0.77581,1.03274,0.75636,0.51268,0.52183,0.24761,1.79252,1.3412,1.28794,0.00107532,0.00107532,0.00107532
7,936.311,1.13049,0.74603,1.01849,0.59522,0.47515,0.50446,0.24595,1.71037,1.4703,1.27135,0.00100459,0.00100459,0.00100459
8,1061.3,1.10779,0.72532,1.01118,0.63387,0.44275,0.47735,0.24371,1.71883,1.40295,1.27285,0.000933851,0.000933851,0.000933851
9,1179.55,1.09066,0.71229,1.00244,0.75098,0.47083,0.5371,0.2912,1.6721,1.30239,1.24955,0.000863116,0.000863116,0.000863116
10,1301.37,1.07317,0.69672,0.99763,0.6948,0.51679,0.55713,0.29258,1.65636,1.31802,1.22795,0.00079238,0.00079238,0.00079238
11,1449.19,1.05987,0.68169,0.99181,0.69549,0.47029,0.50385,0.25229,1.80407,1.42868,1.2902,0.000721645,0.000721645,0.000721645
12,1565.29,1.03849,0.66165,0.9828,0.70097,0.53561,0.54771,0.29602,1.61327,1.33302,1.21696,0.000650909,0.000650909,0.000650909
13,1688.73,1.01126,0.64359,0.9745,0.66373,0.48985,0.52385,0.26881,1.70793,1.43625,1.27426,0.000580174,0.000580174,0.000580174
14,1812.65,0.99604,0.62666,0.96699,0.60538,0.50263,0.55355,0.28128,1.68664,1.3175,1.22976,0.000509438,0.000509438,0.000509438
15,1935.75,0.97836,0.61553,0.96254,0.73904,0.49608,0.57446,0.29422,1.68194,1.3313,1.2409,0.000438703,0.000438703,0.000438703
16,2059.21,0.95228,0.5959,0.95469,0.64188,0.49964,0.579,0.26864,1.78789,1.35427,1.28717,0.000367967,0.000367967,0.000367967
17,2181.75,0.93424,0.5825,0.94584,0.69941,0.51155,0.59476,0.28742,1.73401,1.29117,1.27018,0.000297232,0.000297232,0.000297232
18,2293.86,0.91521,0.56893,0.93904,0.64289,0.53652,0.60731,0.30687,1.68663,1.22927,1.2358,0.000226497,0.000226497,0.000226497
19,2417.12,0.88816,0.55388,0.93106,0.64685,0.48871,0.58049,0.25947,1.81619,1.31624,1.2852,0.000155761,0.000155761,0.000155761
20,2539.81,0.87401,0.53917,0.92323,0.66352,0.5014,0.58816,0.27304,1.82281,1.34298,1.30587,8.50255e-05,8.50255e-05,8.50255e-05
